Supernatant,PubLetter,Date,OrganicAcid,Concentration_mM,BioRep
Super164,A,APR2020,Lactate,0.18395,2
Super164,A,APR2020,Lactate,0,3
Super164,A,APR2020,Succinate,0.3446,1
Super164,A,APR2020,Succinate,0.5711,2
Super164,A,APR2020,Succinate,0.3795,3
Super222,B,APR2020,Acetate,2.7481,1
Super222,B,APR2020,Acetate,2.73565,2
Super222,B,APR2020,Acetate,2.5072,3
Super222,B,APR2020,Butyrate,0.50455,1
Super222,B,APR2020,Butyrate,0.53635,2
Super222,B,APR2020,Butyrate,0.5374,3
Super222,B,APR2020,Propionate,0.48915,1
Super222,B,APR2020,Propionate,0.4498,2
Super222,B,APR2020,Propionate,0.2631,3
Super222,B,APR2020,Lactate,1.35365,1
Super222,B,APR2020,Lactate,1.5698,2
Super222,B,APR2020,Lactate,1.5577,3
Super222,B,APR2020,Succinate,1.35115,1
Super222,B,APR2020,Succinate,1.3346,2
Super222,B,APR2020,Succinate,1.82255,3
Super230,C,APR2020,Acetate,1.1761,1
Super230,C,APR2020,Acetate,1.4006,2
Super230,C,APR2020,Acetate,1.35295,3
Super230,C,APR2020,Butyrate,0.3935,1
Super230,C,APR2020,Butyrate,0.44345,2
Super230,C,APR2020,Butyrate,0.4855,3
Super230,C,APR2020,Propionate,0.044,1
Super230,C,APR2020,Propionate,0.27,2
Super230,C,APR2020,Propionate,0.30405,3
Super230,C,APR2020,Lactate,1.12995,1
Super230,C,APR2020,Lactate,1.1651,2
Super230,C,APR2020,Lactate,4.261,3
Super230,C,APR2020,Succinate,0.61375,1
Super230,C,APR2020,Succinate,0.73145,2
Super230,C,APR2020,Succinate,1.00145,3
Super234,D,APR2020,Acetate,1.5431,1
Super234,D,APR2020,Acetate,1.409,2
Super234,D,APR2020,Acetate,2.49655,3
Super234,D,APR2020,Butyrate,0.43535,1
Super234,D,APR2020,Butyrate,0.295,2
Super234,D,APR2020,Butyrate,0.42135,3
Super234,D,APR2020,Propionate,0.3144,1
Super234,D,APR2020,Propionate,0.5344,2
Super234,D,APR2020,Propionate,0.94775,3
Super234,D,APR2020,Lactate,1.06295,1
Super234,D,APR2020,Lactate,2.2366,2
Super234,D,APR2020,Lactate,0.047,3
Super234,D,APR2020,Succinate,0.2593,1
Super234,D,APR2020,Succinate,0.18825,2
Super234,D,APR2020,Succinate,0.2968,3
Super235,E,APR2020,Acetate,4.74325,1
Super235,E,APR2020,Acetate,4.86035,2
Super235,E,APR2020,Acetate,4.8493,3
Super235,E,APR2020,Butyrate,0.381,1
Super235,E,APR2020,Butyrate,0.37785,2
Super235,E,APR2020,Butyrate,0.43925,3
Super235,E,APR2020,Propionate,1.63975,1
Super235,E,APR2020,Propionate,1.7363,2
Super235,E,APR2020,Propionate,2.0848,3
Super235,E,APR2020,Lactate,0,1
Super235,E,APR2020,Lactate,0,2
Super235,E,APR2020,Lactate,0,3
Super235,E,APR2020,Succinate,0.2423,1
Super235,E,APR2020,Succinate,0.2425,2
Super235,E,APR2020,Succinate,0.30725,3
Super243,F,APR2020,Acetate,0.14125,1
Super243,F,APR2020,Acetate,0.43185,2
Super243,F,APR2020,Acetate,0.2401,3
Super243,F,APR2020,Butyrate,0,1
Super243,F,APR2020,Butyrate,0,2
Super243,F,APR2020,Butyrate,0,3
Super243,F,APR2020,Propionate,0,1
Super243,F,APR2020,Propionate,0,2
Super243,F,APR2020,Propionate,0.2542,3
Super243,F,APR2020,Lactate,0.9242,1
Super243,F,APR2020,Lactate,5.2163,2
Super243,F,APR2020,Lactate,6.51045,3
Super243,F,APR2020,Succinate,0.48385,1
Super243,F,APR2020,Succinate,0.7525,2
Super243,F,APR2020,Succinate,0.3384,3
Super260,G,APR2020,Acetate,4.99505,1
Super260,G,APR2020,Acetate,5.0025,2
Super260,G,APR2020,Acetate,4.73865,3
Super260,G,APR2020,Butyrate,0.6324,1
Super260,G,APR2020,Butyrate,0.65955,2
Super260,G,APR2020,Butyrate,0.6338,3
Super260,G,APR2020,Propionate,2.51915,1
Super260,G,APR2020,Propionate,2.77105,2
Super260,G,APR2020,Propionate,2.51485,3
Super260,G,APR2020,Lactate,0,1
Super260,G,APR2020,Lactate,0,2
Super260,G,APR2020,Lactate,0,3
Super260,G,APR2020,Succinate,0.10615,1
Super260,G,APR2020,Succinate,0.09555,2
Super260,G,APR2020,Succinate,0.1205,3
Super262,H,APR2020,Acetate,0.14125,1
Super262,H,APR2020,Acetate,0.43185,2
Super262,H,APR2020,Acetate,0.2401,3
Super262,H,APR2020,Butyrate,0,1
Super262,H,APR2020,Butyrate,0,2
Super262,H,APR2020,Butyrate,0,3
Super262,H,APR2020,Propionate,0,1
Super262,H,APR2020,Propionate,0,2
Super262,H,APR2020,Propionate,0.2542,3
Super262,H,APR2020,Lactate,0.9242,1
Super262,H,APR2020,Lactate,5.2163,2
Super262,H,APR2020,Lactate,6.51045,3
Super262,H,APR2020,Succinate,0.48385,1
Super262,H,APR2020,Succinate,0.7525,2
Super262,H,APR2020,Succinate,0.3384,3
