Kingdom,Phylum,Class,Order,Family,Genus,Species,TaxName,Prevalence_CRS,Prevalence_NonCRS,Abundance_CRS,Abundance_NonCRS,PercentAbundance_CRS,PercentAbundance_NonCRS,avgRelAbun_CRS,avgRelAbun_NonCRS
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,gingivalis,Porphyromonas gingivalis,1,NA,20,NA,0.0164,NA,0.01639344262295082,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,pasteri,Porphyromonas pasteri,11,3,293,44,0.2402,0.1158,0.2401639344262295,0.11578947368421053
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA,Prevotella,20,7,2553,279,2.0926,0.7342,2.0926229508196723,0.7342105263157894
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,baroniae,Prevotella baroniae,3,NA,62,NA,0.0508,NA,0.05081967213114754,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,conceptionensis,Prevotella conceptionensis,2,NA,76,NA,0.0623,NA,0.06229508196721311,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,dentalis,Prevotella dentalis,2,NA,51,NA,0.0418,NA,0.04180327868852459,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,denticola,Prevotella denticola,1,1,1,26,8e-4,0.0684,8.19672131147541e-4,0.06842105263157895
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,disiens,Prevotella disiens,1,NA,32,NA,0.0262,NA,0.02622950819672131,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,histicola,Prevotella histicola,8,4,431,208,0.3533,0.5474,0.35327868852459016,0.5473684210526316
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,intermedia,Prevotella intermedia,3,1,242,191,0.1984,0.5026,0.19836065573770492,0.5026315789473684
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,loescheii,Prevotella loescheii,3,NA,20,NA,0.0164,NA,0.01639344262295082,NA
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,melaninogenica,Prevotella melaninogenica,13,5,478,265,0.3918,0.6974,0.3918032786885246,0.6973684210526316
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,nanceiensis,Prevotella nanceiensis,7,3,115,28,0.0943,0.0737,0.09426229508196722,0.07368421052631578
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,nigrescens,Prevotella nigrescens,7,2,885,60,0.7254,0.1579,0.7254098360655737,0.15789473684210525
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,oris,Prevotella oris,15,2,1222,17,1.0016,0.0447,1.001639344262295,0.04473684210526316
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,pallens,Prevotella pallens,6,5,137,78,0.1123,0.2053,0.11229508196721312,0.20526315789473684
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,salivae,Prevotella salivae,9,4,349,219,0.2861,0.5763,0.2860655737704918,0.5763157894736842
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,shahii,Prevotella shahii,NA,1,NA,42,NA,0.1105,NA,0.1105263157894737
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,veroralis,Prevotella veroralis,NA,1,NA,25,NA,0.0658,NA,0.06578947368421052
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,NA,Rothia,5,4,41,463,0.0336,1.2184,0.03360655737704918,1.218421052631579
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,dentocariosa,Rothia dentocariosa,13,5,79,450,0.0648,1.1842,0.06475409836065574,1.1842105263157894
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,mucilaginosa,Rothia mucilaginosa,10,5,130,215,0.1066,0.5658,0.10655737704918034,0.5657894736842105
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas,NA,Selenomonas,12,3,177,99,0.1451,0.2605,0.14508196721311475,0.26052631578947366
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas,artemidis,Selenomonas artemidis,2,1,34,1,0.0279,0.0026,0.027868852459016394,0.002631578947368421
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas,infelix,Selenomonas infelix,3,1,44,10,0.0361,0.0263,0.036065573770491806,0.02631578947368421
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas,noxia,Selenomonas noxia,5,NA,217,NA,0.1779,NA,0.1778688524590164,NA
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas,sputigena,Selenomonas sputigena,6,3,42,23,0.0344,0.0605,0.03442622950819672,0.060526315789473685
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,Streptococcus,31,16,6926,2218,5.677,5.8368,5.677049180327869,5.836842105263158
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,anginosus,Streptococcus anginosus,3,NA,35,NA,0.0287,NA,0.028688524590163935,NA
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,constellatus,Streptococcus constellatus,2,1,24,96,0.0197,0.2526,0.019672131147540982,0.25263157894736843
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,intermedius,Streptococcus intermedius,7,1,3458,2,2.8344,0.0053,2.8344262295081966,0.005263157894736842
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,oralis,Streptococcus oralis,3,NA,47,NA,0.0385,NA,0.03852459016393443,NA
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,pneumoniae,Streptococcus pneumoniae,16,2,10743,47,8.8057,0.1237,8.805737704918032,0.12368421052631577
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,sanguinis,Streptococcus sanguinis,6,2,25,92,0.0205,0.2421,0.020491803278688527,0.24210526315789474
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Tannerella,forsythia,Tannerella forsythia,7,1,172,6,0.141,0.0158,0.14098360655737704,0.015789473684210527
Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,NA,Treponema,3,NA,75,NA,0.0615,NA,0.06147540983606558,NA
Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,denticola,Treponema denticola,2,NA,81,NA,0.0664,NA,0.06639344262295081,NA
Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,lecithinolyticum,Treponema lecithinolyticum,1,1,1,11,8e-4,0.0289,8.19672131147541e-4,0.028947368421052628
Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,medium,Treponema medium,2,1,36,58,0.0295,0.1526,0.029508196721311476,0.15263157894736845
Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,putidum,Treponema putidum,3,NA,87,NA,0.0713,NA,0.07131147540983607,NA
Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,socranskii,Treponema socranskii,3,1,21,1,0.0172,0.0026,0.01721311475409836,0.002631578947368421
Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,vincentii,Treponema vincentii,3,1,8,29,0.0066,0.0763,0.006557377049180328,0.07631578947368423
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,NA,Veillonella,21,10,2239,1133,1.8352,2.9816,1.8352459016393443,2.9815789473684213
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,dispar,Veillonella dispar,11,6,131,442,0.1074,1.1632,0.10737704918032787,1.1631578947368422
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,parvula,Veillonella parvula,13,8,356,222,0.2918,0.5842,0.29180327868852457,0.5842105263157895
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,rogosae,Veillonella rogosae,10,3,170,117,0.1393,0.3079,0.13934426229508196,0.3078947368421053
